SID,YEAR,MONTH,DAY,HOUR,LAT,LON,DELTA_LAT_6h,DELTA_LON_6h,TARGET_WIND_6h,DELTA_LAT_12h,DELTA_LON_12h,TARGET_WIND_12h,DELTA_LAT_24h,DELTA_LON_24h,TARGET_WIND_24h
2015012N09146,2015,1,13,12,8.7,141.7,0.6000000000000014,-0.8999999999999773,0.0,1.3000000000000007,-2.0,0.0,2.3000000000000007,-4.599999999999994,0.0
2015012N09146,2015,1,13,18,9.3,140.8,0.6999999999999993,-1.1000000000000227,0.0,1.0999999999999996,-2.4000000000000057,0.0,2.0,-5.0,0.0
2015012N09146,2015,1,14,0,10.0,139.7,0.40000000000000036,-1.299999999999983,0.0,1.0,-2.5999999999999943,0.0,1.5,-5.199999999999989,0.0
2015012N09146,2015,1,14,6,10.4,138.4,0.5999999999999996,-1.3000000000000114,0.0,0.9000000000000004,-2.5999999999999943,0.0,1.299999999999999,-5.0,0.0
2015012N09146,2015,1,14,12,11.0,137.1,0.3000000000000007,-1.299999999999983,0.0,0.5,-2.5999999999999943,0.0,0.6999999999999993,-4.599999999999994,5.0
2015012N09146,2015,1,14,18,11.3,135.8,0.1999999999999993,-1.3000000000000114,0.0,0.3999999999999986,-2.4000000000000057,0.0,0.29999999999999893,-4.100000000000023,5.0
2015012N09146,2015,1,15,0,11.5,134.5,0.1999999999999993,-1.0999999999999943,0.0,0.1999999999999993,-2.0,5.0,0.0,-3.6999999999999886,10.0
2015012N09146,2015,1,15,6,11.7,133.4,0.0,-0.9000000000000057,5.0,-0.09999999999999964,-1.700000000000017,5.0,-0.29999999999999893,-3.5999999999999943,15.0
2015012N09146,2015,1,15,12,11.7,132.5,-0.09999999999999964,-0.8000000000000114,0.0,-0.1999999999999993,-1.6999999999999886,5.0,-0.3999999999999986,-3.8000000000000114,10.0
2015012N09146,2015,1,15,18,11.6,131.7,-0.09999999999999964,-0.8999999999999773,5.0,-0.1999999999999993,-1.8999999999999773,10.0,-0.5,-4.099999999999994,20.0
2015012N09146,2015,1,16,0,11.5,130.8,-0.09999999999999964,-1.0,5.0,-0.1999999999999993,-2.1000000000000227,5.0,-0.09999999999999964,-4.1000000000000085,15.0
