SID,ISO_TIME,YEAR,MONTH,DAY,HOUR,LAT,LON,WMO_WIND,WMO_PRES,DIST2LAND
2015012N09146,2015-01-13 12:00:00,2015,1,13,12,8.7,141.7,35.0,1002.0,1217
2015012N09146,2015-01-13 18:00:00,2015,1,13,18,9.3,140.8,35.0,1002.0,1254
2015012N09146,2015-01-14 00:00:00,2015,1,14,0,10.0,139.7,35.0,1002.0,1281
2015012N09146,2015-01-14 06:00:00,2015,1,14,6,10.4,138.4,35.0,1000.0,1281
2015012N09146,2015-01-14 12:00:00,2015,1,14,12,11.0,137.1,35.0,1000.0,1209
2015012N09146,2015-01-14 18:00:00,2015,1,14,18,11.3,135.8,35.0,1000.0,1077
2015012N09146,2015-01-15 00:00:00,2015,1,15,0,11.5,134.5,35.0,998.0,944
2015012N09146,2015-01-15 06:00:00,2015,1,15,6,11.7,133.4,35.0,996.0,832
2015012N09146,2015-01-15 12:00:00,2015,1,15,12,11.7,132.5,40.0,994.0,735
2015012N09146,2015-01-15 18:00:00,2015,1,15,18,11.6,131.7,40.0,992.0,647
2015012N09146,2015-01-16 00:00:00,2015,1,16,0,11.5,130.8,45.0,990.0,548
2015012N09146,2015-01-16 06:00:00,2015,1,16,6,11.4,129.8,50.0,985.0,438
2015012N09146,2015-01-16 12:00:00,2015,1,16,12,11.3,128.7,50.0,980.0,318
2015012N09146,2015-01-16 18:00:00,2015,1,16,18,11.1,127.6,60.0,975.0,196
2015012N09146,2015-01-17 00:00:00,2015,1,17,0,11.4,126.7,60.0,975.0,107
2015012N09146,2015-01-17 06:00:00,2015,1,17,6,11.9,125.8,60.0,975.0,39
2015012N09146,2015-01-17 12:00:00,2015,1,17,12,12.4,125.1,45.0,990.0,0
2015012N09146,2015-01-17 18:00:00,2015,1,17,18,12.7,124.3,40.0,992.0,21
2015012N09146,2015-01-18 00:00:00,2015,1,18,0,13.5,123.6,35.0,996.0,0
2015012N09146,2015-01-18 06:00:00,2015,1,18,6,14.0,122.9,35.0,996.0,0
2015012N09146,2015-01-18 12:00:00,2015,1,18,12,14.8,122.6,35.0,1000.0,67
