Model/Strategy,Horizon,haversine_distance,MAE,R2,Wind_MAE,Wind_R2,Directional_Stability,Moving_Velocity_Sensitivity
1. CLIPER (ibtracs),+6h,41.25,0.2474,0.6169,3.7495,0.0671,76.85950413223141,10.526315789473683
1. CLIPER (ibtracs),+12h,85.89,0.5171,0.5771,6.7603,0.1147,79.75206611570248,10.526315789473683
1. CLIPER (ibtracs),+24h,200.79,1.2248,0.4672,11.6659,0.2331,77.68595041322314,17.322834645669293
2. LightGBM global (ibtracs),+6h,62.29,0.375,0.4425,3.2119,0.3578,66.2534435261708,26.31578947368421
2. LightGBM global (ibtracs),+12h,127.33,0.7705,0.3958,5.5402,0.4102,68.31955922865014,28.947368421052634
2. LightGBM global (ibtracs),+24h,275.81,1.6934,0.3043,9.7626,0.4626,67.63085399449037,36.22047244094488
3. era5->3D->vector->LightGBM,+6h,53.84,0.3206,0.5563,2.747,0.5005,74.24242424242425,40.35087719298245
3. era5->3D->vector->LightGBM,+12h,94.96,0.5662,0.6465,4.0579,0.6543,80.3030303030303,47.368421052631575
3. era5->3D->vector->LightGBM,+24h,163.74,0.98,0.7123,4.5289,0.8057,82.36914600550963,57.48031496062992
4. ibtracs + 3D --> LightGBM,+6h,54.9,0.3256,0.557,2.6694,0.5271,72.58953168044077,33.33333333333333
4. ibtracs + 3D --> LightGBM,+12h,99.46,0.591,0.6359,4.1266,0.6443,78.65013774104683,40.78947368421053
4. ibtracs + 3D --> LightGBM,+24h,171.09,1.0248,0.694,5.0977,0.7838,80.16528925619835,48.818897637795274
5. ibtracs_feature_engineering + 3D --> LightGBM,+6h,36.08,0.2161,0.749,2.476,0.5616,78.65013774104683,12.280701754385964
5. ibtracs_feature_engineering + 3D --> LightGBM,+12h,66.69,0.398,0.7845,3.6611,0.7028,83.60881542699724,23.684210526315788
5. ibtracs_feature_engineering + 3D --> LightGBM,+24h,128.6,0.7751,0.8013,4.2146,0.8369,85.12396694214877,40.15748031496063
6. ibtracs_feature_engineering_PCA + 3D --> LightGBM,+6h,37.62,0.2262,0.7249,2.5598,0.5479,78.37465564738292,15.789473684210526
6. ibtracs_feature_engineering_PCA + 3D --> LightGBM,+12h,66.95,0.4066,0.7808,3.8391,0.6842,83.7465564738292,32.89473684210527
6. ibtracs_feature_engineering_PCA + 3D --> LightGBM,+24h,126.4,0.7679,0.8066,4.5515,0.8188,85.39944903581267,44.881889763779526
7. MLP (ibtracs_feature_engineering_PCA + 3D),+6h,52.72,0.3146,0.5456,2.5939,0.5426,70.52341597796143,31.57894736842105
7. MLP (ibtracs_feature_engineering_PCA + 3D),+12h,80.83,0.4845,0.7113,3.6422,0.6968,80.44077134986226,40.78947368421053
7. MLP (ibtracs_feature_engineering_PCA + 3D),+24h,133.1,0.7973,0.7893,4.2479,0.8099,84.71074380165288,44.09448818897638
8. Ensemble (LightGBM + XGBoost) on ibtracs_feature_engineering + 3D,+6h,35.34,0.2114,0.7572,2.4598,0.575,79.20110192837465,10.526315789473683
8. Ensemble (LightGBM + XGBoost) on ibtracs_feature_engineering + 3D,+12h,65.17,0.3903,0.7884,3.6072,0.7112,84.02203856749311,19.736842105263158
8. Ensemble (LightGBM + XGBoost) on ibtracs_feature_engineering + 3D,+24h,128.84,0.7786,0.8,4.1172,0.8436,85.12396694214877,44.09448818897638
9. Stacking (LightGBM + XGBoost) on ibtracs_feature_engineering + 3D,+6h,35.43,0.2119,0.7555,2.4967,0.5745,79.33884297520662,10.526315789473683
9. Stacking (LightGBM + XGBoost) on ibtracs_feature_engineering + 3D,+12h,64.81,0.3873,0.7874,3.6462,0.7054,84.02203856749311,19.736842105263158
9. Stacking (LightGBM + XGBoost) on ibtracs_feature_engineering + 3D,+24h,127.09,0.7665,0.8011,4.252,0.8347,84.9862258953168,42.51968503937008
